pert_id	inchikey	block1
BRD-K45576003	YPZHFZOSOVXOQM-VABKMULXSA-N	YPZHFZOSOVXOQM
BRD-K45582470	IMPBBHMDJCWLCX-HOOSLVGPSA-N	IMPBBHMDJCWLCX
BRD-K45591070	JHQFRDYLQMIJCM-AXHZCLLHSA-N	JHQFRDYLQMIJCM
BRD-K45595662	CXJRMLHIKXWLHJ-JBXUNAHCSA-N	CXJRMLHIKXWLHJ
BRD-K45601310	PTZKUMYBXIPSAJ-UALZOGQESA-N	PTZKUMYBXIPSAJ
BRD-K45613561	VEFOSOMUCSIFLK-WKRCXCSHSA-N	VEFOSOMUCSIFLK
BRD-K45615006	XBLMBZLFERXHHT-ZNZIZOMTSA-N	XBLMBZLFERXHHT
BRD-K45627302	ZAAUORSXPDRDRM-MDVSIOIASA-N	ZAAUORSXPDRDRM
BRD-K45628229	BVGZNQUUZDWJPB-XMERXJNXSA-N	BVGZNQUUZDWJPB
BRD-K45630356	ZLSVBQPGKZIPOU-BSRJHKFKSA-N	ZLSVBQPGKZIPOU
BRD-K45656768	KMYKLRXROVKHNJ-XLNZFTOWSA-N	KMYKLRXROVKHNJ
BRD-K45663104	WYPGSQIBOYUSAK-STWLZBDKSA-N	WYPGSQIBOYUSAK
BRD-K45675241	DDXXXUMOHIHJCU-UHFFFAOYSA-O	DDXXXUMOHIHJCU
