pert_id	pert_iname	pubchem_cid	stitch_chemical	ensp	gene_symbol	entrez	gene_idx	combined_score
BRD-A20119038	mecamylamine	4032	CIDs00004032	9606.ENSP00000340989	SFN	2810	648	155
BRD-A20131130	2',5'-dideoxyadenosine	3044	CIDm00003044	9606.ENSP00000368523	DNAJC15	29103	879	155
BRD-A20131130	2',5'-dideoxyadenosine	3044	CIDm00003044	9606.ENSP00000467556	GPATCH8	23131	735	155
BRD-A20239487	atenolol-(+/-)	2249	CIDm00002249	9606.ENSP00000386741	CHN1	1123	741	155
BRD-A21723284	naltriben	4429	CIDm00004429	9606.ENSP00000439856	CHERP	10523	206	155
BRD-A23723433	paclitaxel	4666	CIDm00004666	9606.ENSP00000262039	PIK3C3	5289	453	155
BRD-A23723433	paclitaxel	4666	CIDs00004666	9606.ENSP00000406229	FAT1	2195	117	155
BRD-A24891640	nimodipine	4497	CIDm00004497	9606.ENSP00000302961	HSPA4	3308	699	155
BRD-A24891640	nimodipine	4497	CIDs00004497	9606.ENSP00000302961	HSPA4	3308	699	155
BRD-A34006693	suprofen	5359	CIDm00005359	9606.ENSP00000241052	CAT	847	96	155
BRD-A34006693	suprofen	5359	CIDm00005359	9606.ENSP00000261921	LOXL1	4016	403	155
BRD-A34006693	suprofen	5359	CIDm00005359	9606.ENSP00000295962	ABHD6	57406	957	155
BRD-A34006693	suprofen	5359	CIDs00005359	9606.ENSP00000241052	CAT	847	96	155
BRD-A34006693	suprofen	5359	CIDs00005359	9606.ENSP00000261921	LOXL1	4016	403	155
BRD-A34006693	suprofen	5359	CIDs00005359	9606.ENSP00000295962	ABHD6	57406	957	155
BRD-A34205397	suloctidil	5354	CIDm00005354	9606.ENSP00000241052	CAT	847	96	155
BRD-A34205397	suloctidil	5354	CIDs00005354	9606.ENSP00000241052	CAT	847	96	155
BRD-A34309505	zopiclone	5735	CIDm00005735	9606.ENSP00000307786	CYCS	54205	621	155
BRD-A35108200	dexamethasone	3003	CIDm00003003	9606.ENSP00000269228	NPC1	4864	264	155
BRD-A35258977	mannitol	453	CIDm00000453	9606.ENSP00000358983	NFKB2	4791	580	155
BRD-A37288617	amfepramone	7029	CIDm00007029	9606.ENSP00000245544	NUP85	79902	846	155
BRD-A37288617	amfepramone	7029	CIDs00007029	9606.ENSP00000245544	NUP85	79902	846	155
BRD-A41692738	TGX-221	9907093	CIDm09907093	9606.ENSP00000055077	RFC2	5982	416	155
BRD-A41692738	TGX-221	9907093	CIDs09907093	9606.ENSP00000055077	RFC2	5982	416	155
BRD-A42383464	actinomycin-d	2019	CIDs00002019	9606.ENSP00000241052	CAT	847	96	155
BRD-A44780397	mifepristone	4196	CIDm00004196	9606.ENSP00000262053	ATF1	466	967	155
BRD-A44780397	mifepristone	4196	CIDm00004196	9606.ENSP00000281456	SLC25A4	291	297	155
BRD-A51182606	chloramphenicol	298	CIDm00000298	9606.ENSP00000005257	RALA	5898	796	155
BRD-A51182606	chloramphenicol	298	CIDm00000298	9606.ENSP00000272519	RALB	5899	188	155
BRD-A51182606	chloramphenicol	298	CIDm00000298	9606.ENSP00000358548	NRAS	4893	258	155
BRD-A70449690	forskolin	3413	CIDm00003413	9606.ENSP00000430432	HDAC2	3066	155	155
BRD-A74500471	ethambutol	3279	CIDm00003279	9606.ENSP00000411532	TOP2A	7153	82	155
BRD-A76019558	ketoconazole	3823	CIDm00003823	9606.ENSP00000296581	LSM6	11157	503	155
BRD-A76019558	ketoconazole	3823	CIDm00003823	9606.ENSP00000410758	LSM5	23658	707	155
BRD-A80793822	pemoline	4723	CIDm00004723	9606.ENSP00000362711	TXLNA	200081	728	155
BRD-A80793822	pemoline	4723	CIDs00004723	9606.ENSP00000362711	TXLNA	200081	728	155
