pert_id	pert_iname	gene_symbol	entrez	gene_idx	chembl	chembl_actions	chembl_direct	stitch_score	evidence
BRD-A07106394	tryptophan	STX4	6810	398	0		0	208	stitch
BRD-A07106394	tryptophan	STX1A	6804	481	0		0	208	stitch
BRD-A07106394	tryptophan	HERC6	55008	923	0		0	204	stitch
BRD-A07106394	tryptophan	HES1	3280	385	0		0	203	stitch
BRD-A07106394	tryptophan	PLEKHM1	9842	748	0		0	201	stitch
BRD-A07106394	tryptophan	SIRT3	23410	958	0		0	201	stitch
BRD-A07106394	tryptophan	RPIA	22934	768	0		0	191	stitch
BRD-A07106394	tryptophan	GAA	2548	295	0		0	186	stitch
BRD-A07106394	tryptophan	PNP	4860	131	0		0	186	stitch
BRD-A07106394	tryptophan	STK25	10494	83	0		0	180	stitch
BRD-A07106394	tryptophan	HPRT1	3251	300	0		0	175	stitch
BRD-A07106394	tryptophan	TLR4	7099	944	0		0	174	stitch
BRD-A07106394	tryptophan	TATDN2	9797	411	0		0	172	stitch
BRD-A07106394	tryptophan	DNMT1	1786	132	0		0	172	stitch
BRD-A07106394	tryptophan	UBE2A	7319	165	0		0	171	stitch
BRD-A07106394	tryptophan	LIG1	3978	275	0		0	168	stitch
BRD-A07106394	tryptophan	UBE3C	9690	150	0		0	163	stitch
BRD-A07106394	tryptophan	UBE3B	89910	731	0		0	163	stitch
BRD-A07106394	tryptophan	HSPA1A	3303	30	0		0	161	stitch
BRD-A07106394	tryptophan	DERA	51071	855	0		0	161	stitch
BRD-A07106394	tryptophan	POLB	5423	407	0		0	156	stitch
BRD-A07106394	tryptophan	DHX29	54505	743	0		0	156	stitch
BRD-A07106394	tryptophan	MYO10	4651	171	0		0	153	stitch
BRD-A07106394	tryptophan	TRAP1	10131	91	0		0	150	stitch
BRD-A07395371	esmolol	ADRB2	154	553	1	ANTAGONIST	1		chembl
BRD-A07440155	labetalol	ADRB2	154	553	1	ANTAGONIST	1		chembl
BRD-A07780951	orciprenaline	ADRB2	154	553	1	AGONIST	1		chembl
BRD-A07893380	vigabatrin	MAPK13	5603	685	0		0	222	stitch
BRD-A07893380	vigabatrin	COASY	80347	166	0		0	187	stitch
BRD-A07893380	vigabatrin	ITFG1	81533	949	0		0	163	stitch
BRD-A07893380	vigabatrin	STXBP1	6812	210	0		0	153	stitch
BRD-A07932845	metitepine	TBXA2R	6915	970	0		0	395	stitch
BRD-A07932845	metitepine	CXCR4	7852	710	0		0	395	stitch
BRD-A07932845	metitepine	ADRB2	154	553	0		0	395	stitch
BRD-A07932845	metitepine	CHP1	11261	591	0		0	175	stitch
BRD-A08027849	deoxycholic-acid	EGFR	1956	173	0		0	816	stitch_high
BRD-A08027849	deoxycholic-acid	PTGS2	5743	482	0		0	800	stitch_high
BRD-A08027849	deoxycholic-acid	CREB1	1385	454	0		0	800	stitch_high
BRD-A08027849	deoxycholic-acid	ERBB2	2064	810	0		0	786	stitch_high
BRD-A08027849	deoxycholic-acid	MSH6	2956	311	0		0	371	stitch
BRD-A08027849	deoxycholic-acid	CASP3	836	284	0		0	274	stitch
BRD-A08027849	deoxycholic-acid	LIPA	3988	157	0		0	235	stitch
