lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
HUES3	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	35742,40513,40603,40692,40694,40706,40711,40715,40745,40751,40767,40783,40784,40785,40786,40873,40997,44923,44924,44925,44926,44927,44928,44929,44930,44931,61678,61679,61680,78236,78318,78433,78434,78435,78436,78437,78852,78853,78854,78855,78856,78857,79091,79092,79239,79431,80434,80435,80436,80437,80438,90693,90694,90695,90696,90697,90698,90699,90700,93790,93795,93796,93948,104896,106252,106253,106254,106255,106256,107640,107641,107642,107643,107644,107645,107646,107647,107648,107649,107650,107651,107652,107653		[alias='hESC' (type alias)] Cistrome sample ID(s): 35742,40513,40603,40692,40694,40706,40711,40715,40745,40751,40767,40783,40784,40785,40786,40873,40997,44923,44924,44925,44926,44927,44928,44929,44930,44931,61678,61679,61680,78236,78318,78433,78434,78435,78436,78437,78852,78853,78854,78855,78856,78857,79091,79092,79239,79431,80434,80435,80436,80437,80438,90693,90694,90695,90696,90697,90698,90699,90700,93790,93795,93796,93948,104896,106252,106253,106254,106255,106256,107640,107641,107642,107643,107644,107645,107646,107647,107648,107649,107650,107651,107652,107653
HUES3	H3K27ac	resolved	tissue_type_match	H3K27ac	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	864,867,1025,1026,6412,6413,6414,6415,6416,6437,6438,6439,6494,6531,6534,6535,36224,36644,36869,43368,45227,45243,93191,93193,93194,93195,102861,102862,102871,102872		[alias='hESC' (type alias)] Cistrome sample ID(s): 864,867,1025,1026,6412,6413,6414,6415,6416,6437,6438,6439,6494,6531,6534,6535,36224,36644,36869,43368,45227,45243,93191,93193,93194,93195,102861,102862,102871,102872
HUES3	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	868,869,870,871,874,875,1029,1030,1031,2939,6386,6387,6417,6418,6440,6441,6495,6496,6532,6536,8501,35354,36219,36222,36619,36620,36851,38293,43369,72044,72046,72048,74798,82987,82991,84271,102859,102860,102869,102870		[alias='hESC' (type alias)] Cistrome sample ID(s): 868,869,870,871,874,875,1029,1030,1031,2939,6386,6387,6417,6418,6440,6441,6495,6496,6532,6536,8501,35354,36219,36222,36619,36620,36851,38293,43369,72044,72046,72048,74798,82987,82991,84271,102859,102860,102869,102870
HUH7	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		40761,40770		Cistrome sample ID(s): 40761,40770
HUH7	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		66908,66909,66910,87149		Cistrome sample ID(s): 66908,66909,66910,87149
HUH7	H3K27me3	resolved	imputed	H3K27me3	True	epimap	hg19	imputed	imputed_track	imputed_track (EpiMap predicted, not measured; biosample name-verified)	BSS00718		EpiMap imputed track, biosample BSS00718 [perturb=null, exact-name verified].
HUVEC	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		35744,40904,45014,45015,61548,61549		Cistrome sample ID(s): 35744,40904,45014,45015,61548,61549
HUVEC	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		33473,33479,35414,35421,37086,41620,41621,44344,44345,44346,44347,44384,44385,45360,45373,48063,48064,48065		Cistrome sample ID(s): 33473,33479,35414,35421,37086,41620,41621,44344,44345,44346,44347,44384,44385,45360,45373,48063,48064,48065
HUVEC	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		35396,35443,81588		Cistrome sample ID(s): 35396,35443,81588
JHUEM2	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
JHUEM2	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
JHUEM2	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
JURKAT	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		45018,45019,78812,78813,78814,78815,78816,78817,78818,78819,80028,80029,80030,80031		Cistrome sample ID(s): 45018,45019,78812,78813,78814,78815,78816,78817,78818,78819,80028,80029,80030,80031
