cell_line	mark	total_ids_checked	dominant_cvcl_raw_count	dominant_count	corrected_dominant_cvcl	corrected_dominant_score	all_distinct_cvcl_accessions	contaminating_extra_cvcl	classification	evidence	needs_overseer_decision
SKBR3	ATAC-seq	3	CVCL:0033	3	CVCL:0033	2.997	['CVCL:0033']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
SKBR3	H3K27ac	2	CVCL:0033	2	CVCL:0033	1.932	['CVCL:0033']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
SKBR3	H3K27me3	3	CVCL:0033	3	CVCL:0033	2.926	['CVCL:0033', 'CVCL:E025']	['PAE-iPS-4 (CVCL:E025)']	METADATA_ARTIFACT	PAE-iPS-4 (CVCL:E025): iPSC with 'Cancer' Cellosaurus synonym — known parser false-positive	False
SKM1	H3K27ac	8	CVCL:0098	8	CVCL:0098	7.624	['CVCL:0098']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
SKM1	H3K27me3	8	CVCL:0098	8	CVCL:0098	7.624	['CVCL:0098']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
SKMEL1	ATAC-seq	1	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
SKMEL1	H3K27ac	1	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
SKMEL1	H3K27me3	1	none	0	none	0.0	[]	[]	METADATA_ARTIFACT	No CVCL ontology entries — zero-CVCL row	False
SKMEL28	H3K27me3	1	CVCL:0526	1	CVCL:0526	0.999	['CVCL:0526', 'CVCL:2111']	['MEL-745A cl. DS19 (CVCL:2111)']	GENUINE_CONTAMINATION	MEL-745A cl. DS19 (CVCL:2111) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0526; score 0.982 vs dominant 0.999	True
SW480	ATAC-seq	2	CVCL:0546	2	CVCL:0546	1.982	['CVCL:0546', 'CVCL:AT67']	['SW480E (CVCL:AT67)']	METADATA_ARTIFACT	SW480E (CVCL:AT67): dominant CVCL:0546 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
SW480	H3K27ac	4	CVCL:0546	4	CVCL:0546	3.862	['CVCL:0546', 'CVCL:AT67', 'CVCL:E025']	['SW480E (CVCL:AT67)', 'PAE-iPS-4 (CVCL:E025)']	METADATA_ARTIFACT	SW480E (CVCL:AT67): dominant CVCL:0546 found in ancestry chain at hop 1 (subclone/descendant of dominant); PAE-iPS-4 (CVCL:E025): iPSC with 'Cancer' Cellosaurus synonym — known parser false-positive	False
SW620	H3K27ac	1	CVCL:0547	1	CVCL:0547	0.991	['CVCL:0547']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
THP1	ATAC-seq	16	CVCL:0006	16	CVCL:0006	15.072	['CVCL:0006']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
THP1	H3K27ac	20	CVCL:0006	20	CVCL:0006	19.485	['CVCL:0006', 'CVCL:5U28', 'CVCL:DI50', 'CVCL:J013', 'CVCL:VN72', 'CVCL:XK55']	['PAb 414 (CVCL:XK55)', 'L-14 (CVCL:J013)', 'OARSAi007-A (CVCL:VN72)', 'ML14 (CVCL:DI50)', 'L.14 (CVCL:5U28)']	GENUINE_CONTAMINATION	ML14 (CVCL:DI50) (category=Transformed cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0006; score 0.632 vs dominant 19.485; OARSAi007-A (CVCL:VN72): iPSC co-tagged on non-iPSC sample; no 'Cancer' synonym; L.14 (CVCL:5U28): category='Factor-dependent cell line', no ancestry relationship; score 0.716 vs dominant 19.485; PAb 414 (CVCL:XK55): Hybridoma (antibody-source conflation); L-14 (CVCL:J013): Hybridoma (antibody-source conflation)	True
U266	ATAC-seq	1	CVCL:0566	1	CVCL:0566	0.986	['CVCL:0566']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
U937	ATAC-seq	2	CVCL:0007	2	CVCL:0007	1.884	['CVCL:0007']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
VCAP	H3K27me3	3	CVCL:2235	3	CVCL:2235	2.905	['CVCL:2235']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
WSUDLCL2	H3K27me3	1	CVCL:1902	1	CVCL:1902	1.0	['CVCL:1902']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
