lincs_cell_id	mark	source_used	genome_build	notes
MDST8	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MDST8	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MDST8	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MNEU.E	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MNEU.E	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
MNEU.E	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1694	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1694	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1694	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1836	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1836	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH1836	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH2073	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH2073	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH2073	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH508	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH508	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH508	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH596	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH596	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NCIH596	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NEU	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 66071,66072
NEU	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NEU	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NKDBA	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NKDBA	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NKDBA	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NOMO1	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NOMO1	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NOMO1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 6416,6439,6494,36224,36869,84956
NPC	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 6495,6496,36219,36851
NPC.CAS9	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC.CAS9	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC.CAS9	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
NPC.TAK	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
