pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-5218859	Regulated Necrosis	11	BAX,BIRC2,CASP3,CFLAR,CHMP4A,CHMP6,CYCS,FAS,IL1B,STUB1,TP53
R-HSA-5218920	VEGFR2 mediated vascular permeability	6	AKT1,CTNND1,NOS3,PAK1,TRIB3,VAV3
R-HSA-5250913	Positive epigenetic regulation of rRNA expression	5	HDAC2,MTA1,POLR1C,POLR2K,TBP
R-HSA-5250941	Negative epigenetic regulation of rRNA expression	11	ARID4B,CCNH,CDK7,DNMT1,HDAC2,MNAT1,POLR1C,POLR2K,RRP8,SUV39H1,TBP
R-HSA-5260271	Diseases of Immune System	7	APP,BTK,IKBKB,NFKB2,NFKBIA,TICAM1,TLR4
R-HSA-5357769	Caspase activation via extrinsic apoptotic signalling pathway	5	CASP3,CFLAR,FAS,TICAM1,TLR4
R-HSA-5357801	Programmed Cell Death	37	AKT1,BAD,BAX,BCL2,BID,BIRC2,CASP3,CASP7,CDKN2A,CFLAR,CHMP4A,CHMP6,CYCS,DFFA,DFFB,DNM1L,DSG2,FAS,IL1B,NMT1,PMAIP1,PPP1R13B,PRKCD,PRKCQ,PSMD2,PTK2,SATB1,SFN,SPTAN1,STAT3,STUB1,TFDP1,TICAM1,TJP1,TLR4,TP53,TP53BP2
R-HSA-5357905	Regulation of TNFR1 signaling	6	BIRC2,CFLAR,IKBKB,IKBKE,MAPKAPK2,STUB1
R-HSA-5358351	Signaling by Hedgehog	7	CSNK1A1,GLI2,GNAS,PRKACA,PSMD2,SKP1,TUBB6
R-HSA-5358508	Mismatch Repair	7	LIG1,MSH6,PCNA,POLD4,RPA1,RPA2,RPA3
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	7	LIG1,MSH6,PCNA,POLD4,RPA1,RPA2,RPA3
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	6	LIG1,PCNA,POLD4,RPA1,RPA2,RPA3
R-HSA-5368286	Mitochondrial translation initiation	5	MRPL12,MRPL19,MRPS16,MRPS2,OXA1L
R-HSA-5368287	Mitochondrial translation	5	MRPL12,MRPL19,MRPS16,MRPS2,OXA1L
R-HSA-5389840	Mitochondrial translation elongation	5	MRPL12,MRPL19,MRPS16,MRPS2,OXA1L
R-HSA-5419276	Mitochondrial translation termination	5	MRPL12,MRPL19,MRPS16,MRPS2,OXA1L
R-HSA-556833	Metabolism of lipids	64	ABHD4,ACAA1,ACAT2,ACLY,ACOT9,ALAS1,ARNT2,ASAH1,BDH1,CBR1,CDK19,CERK,CPNE3,CSNK2A2,DECR1,EBP,ELOVL6,FDFT1,FHL2,FUT1,GDPD5,HACD3,HADH,HMGCR,HMGCS1,HSD17B11,INPP4B,INSIG1,LBR,LGMN,LPGAT1,MAPKAPK2,MBOAT7,MBTPS1,NCOA3,NR1H2,NSDHL,OXCT1,PCCB,PECR,PEX11A,PIK3C2B,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIP4K2B,PLA2G15,PLA2G4A,PPARD,PPARG,PRKACA,PRKAG2,PTGS2,RAB4A,SACM1L,SCP2,SLC27A3,SPTLC2,ST3GAL5,TNFRSF21,TRIB3,TXNRD1,VAPB
R-HSA-5602358	Diseases associated with the TLR signaling cascade	6	BTK,IKBKB,NFKB2,NFKBIA,TICAM1,TLR4
R-HSA-5607764	CLEC7A (Dectin-1) signaling	12	IKBKB,IL1B,MALT1,NFATC3,NFKB2,NFKBIA,PRKCD,PSMD2,RELB,SKP1,SRC,SYK
R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	5	DHDDS,GALE,GFPT1,PGM1,PMM2
R-HSA-5610783	Degradation of GLI2 by the proteasome	5	CSNK1A1,GLI2,PRKACA,PSMD2,SKP1
R-HSA-5610787	Hedgehog 'off' state	7	CSNK1A1,GLI2,GNAS,PRKACA,PSMD2,SKP1,TUBB6
R-HSA-5617472	Activation of anterior HOX genes in hindbrain development during early embryogenesis	7	EED,EZH2,JUN,NCOA3,POLR2I,POLR2K,SUZ12
R-HSA-5617833	Cilium Assembly	11	CCP110,CDK1,CEP57,CSNK1E,HDAC6,PAFAH1B1,PCM1,PLK1,PRKACA,TCTN1,TUBB6
R-HSA-5619102	SLC transporter disorders	10	HK1,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,SLC11A2,SLC35A1,SLC35A3
R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	6	NUP133,NUP62,NUP85,NUP88,NUP93,RAE1
R-HSA-5619115	Disorders of transmembrane transporters	12	ABCB6,HK1,NUP133,NUP62,NUP85,NUP88,NUP93,PSMD2,RAE1,SLC11A2,SLC35A1,SLC35A3
R-HSA-5619507	Activation of HOX genes during differentiation	7	EED,EZH2,JUN,NCOA3,POLR2I,POLR2K,SUZ12
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	9	CCP110,CDK1,CEP57,CSNK1E,PAFAH1B1,PCM1,PLK1,PRKACA,TCTN1
R-HSA-5620971	Pyroptosis	7	BAX,CASP3,CHMP4A,CHMP6,CYCS,IL1B,TP53
R-HSA-5621481	C-type lectin receptors (CLRs)	19	FYN,ICAM3,IKBKB,IL1B,LYN,MALT1,MUC1,NFATC3,NFKB2,NFKBIA,NRAS,PAK1,PRKACA,PRKCD,PSMD2,RELB,SKP1,SRC,SYK
R-HSA-5621575	CD209 (DC-SIGN) signaling	7	FYN,ICAM3,LYN,NRAS,PAK1,PRKACA,RELB
R-HSA-5627123	RHO GTPases activate PAKs	5	CDC42,CTTN,MYL9,MYLK,PAK1
R-HSA-5628897	TP53 Regulates Metabolic Genes	10	AKT1,CYCS,DDIT4,PRKAG2,RHEB,RRAGA,SESN1,SFN,TP53,TXNRD1
R-HSA-5633007	Regulation of TP53 Activity	32	AKT1,AURKA,AURKB,BRCA1,CCNA1,CCNA2,CDK1,CDK2,CDK5R1,CDKN2A,CHEK1,CHEK2,CSNK2A2,DAXX,HDAC2,KAT6A,MAPKAPK5,PIN1,PIP4K2B,PPP1R13B,PRKAG2,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TBP,TOPBP1,TP53,TP53BP2,USP7
R-HSA-5633008	TP53 Regulates Transcription of Cell Death Genes	12	BAX,BID,BIRC5,BNIP3L,CASP10,CASP2,FAS,IGFBP3,PMAIP1,PPP1R13B,TP53,TP53BP2
R-HSA-5637810	Constitutive Signaling by EGFRvIII	5	EGF,EGFR,NRAS,PIK3CA,SHC1
R-HSA-5637812	Signaling by EGFRvIII in Cancer	5	EGF,EGFR,NRAS,PIK3CA,SHC1
R-HSA-5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	5	EGF,EGFR,NRAS,PIK3CA,SHC1
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	10	LIG1,PCNA,POLB,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
