pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	67	ABL1,ARHGAP1,ARHGEF12,ARHGEF2,AURKB,BIRC5,BTK,BUB1B,CCP110,CDC20,CDC42,CDKN1B,CENPE,CHN1,CLTC,CSK,CTTN,DSG2,EVL,FRS2,GFOD1,GRB7,IQGAP1,KIF14,KIF2C,KTN1,LBR,LRRC41,MYL9,MYLK,NCK1,NCK2,NET1,NISCH,NUP133,NUP85,PAFAH1B1,PAK1,PAK4,PAK6,PIK3C3,PIK3CA,PIK3R3,PIK3R4,PIN1,PLK1,PPP2R5A,PPP2R5E,PRKCD,PTK2,PTK2B,RAC2,RHOA,SFN,SPEN,SPTAN1,SRC,STK10,TIAM1,TRAK2,TUBB6,VAPB,VAV3,WASF3,WIPF2,YKT6,ZW10
R-HSA-9725370	Signaling by ALK fusions and activated point mutants	18	CCNB1,CDKN1A,CLTC,DNMT1,FRS2,JUN,MAPK9,NOTCH1,PIK3CA,PTPN6,RB1,RPS6,SHC1,SKP1,SQSTM1,STAT1,STAT3,TP53
R-HSA-9725371	Nuclear events stimulated by ALK signaling in cancer	8	CCNB1,DNMT1,NOTCH1,PTPN6,RB1,RPS6,SKP1,STAT3
R-HSA-9730414	MITF-M-regulated melanocyte development	28	ASAH1,ATP6V0B,ATP6V1D,BCL2,BCL7B,BRCA1,CCNB1,CCND1,CDC25B,CDK2,CDKN1A,CDKN2A,CREB1,EDN1,KIT,LIG1,PLK1,PXN,RAB27A,RPS6KA1,SERPINE1,SMARCA4,SMARCC1,SMARCD2,SOX2,TBX2,TERT,TFAP2A
R-HSA-9734009	Defective Intrinsic Pathway for Apoptosis	10	APP,CAPN1,CAST,CDC25A,CDC25B,CDK5R1,CDKN2A,FOXO3,JUN,TP53
R-HSA-9748784	Drug ADME	5	ABCC5,CNDP2,HPRT1,PNP,VAV3
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	22	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-975155	MyD88 dependent cascade initiated on endosome	22	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TICAM1,TLR4,TP53,USP14
R-HSA-9755511	KEAP1-NFE2L2 pathway	20	AKT1,BCL2,BRCA1,CCL2,CDKN1A,CDKN2A,CSNK2A2,EGF,HMOX1,KEAP1,MYC,NFE2L2,NOTCH1,PDGFA,PRKCD,PSMD2,SESN1,SKP1,SQSTM1,TXNRD1
R-HSA-975871	MyD88 cascade initiated on plasma membrane	20	APP,ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,NFKB2,NFKBIA,NFKBIB,RPS6KA1,SKP1,TP53,USP14
R-HSA-9758941	Gastrulation	9	BMP4,CXCR4,MAMLD1,NOTCH1,PAX8,PSMD2,SMAD3,SOX2,TFAP2A
R-HSA-9759194	Nuclear events mediated by NFE2L2	14	BCL2,CCL2,CDKN2A,EGF,HMOX1,KEAP1,MYC,NFE2L2,NOTCH1,PDGFA,PSMD2,SKP1,SQSTM1,TXNRD1
R-HSA-9759476	Regulation of Homotypic Cell-Cell Adhesion	17	CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,MYC,PSMD2,RB1,RPN1,SMARCA4,SRC,SUZ12,TFAP2A,TLE1,ZMYM2
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	6	CASC3,EIF4G1,RNPS1,RPL39L,RPS5,RPS6
R-HSA-9764265	Regulation of CDH1 Expression and Function	17	CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,MYC,PSMD2,RB1,RPN1,SMARCA4,SRC,SUZ12,TFAP2A,TLE1,ZMYM2
R-HSA-9764274	Regulation of Expression and Function of Type I Classical Cadherins	17	CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,MYC,PSMD2,RB1,RPN1,SMARCA4,SRC,SUZ12,TFAP2A,TLE1,ZMYM2
R-HSA-9764560	Regulation of CDH1 Gene Transcription	9	EED,EZH2,HDAC2,RB1,SMARCA4,SUZ12,TFAP2A,TLE1,ZMYM2
R-HSA-9764561	Regulation of CDH1 Function	5	CTNND1,CTSL,FYN,PSMD2,SRC
R-HSA-9764725	Negative Regulation of CDH1 Gene Transcription	7	EED,EZH2,HDAC2,SMARCA4,SUZ12,TLE1,ZMYM2
R-HSA-9766229	Degradation of CDH1	5	CTNND1,CTSL,FYN,PSMD2,SRC
R-HSA-9770562	mRNA Polyadenylation	9	CHERP,CPSF4,DDX42,HTATSF1,POLR2I,POLR2K,PUF60,SMNDC1,TCERG1
R-HSA-977225	Amyloid fiber formation	5	ADAM10,APOE,APP,SNCA,UBE2L6
R-HSA-9772572	Early SARS-CoV-2 Infection Events	8	BECN1,CHMP4A,CHMP6,CTSL,GPC1,PIK3C3,PIK3R4,RB1
R-HSA-9816359	Maternal to zygotic transition (MZT)	6	BIRC5,CNOT4,EIF4G1,KDM5A,KDM5B,TP53
R-HSA-9818030	NFE2L2 regulating tumorigenic genes	5	BCL2,EGF,NFE2L2,NOTCH1,PDGFA
R-HSA-9818564	Epigenetic regulation of gene expression by MLL3 and MLL4 complexes	6	ABL1,CEBPA,NCOA3,PEX11A,PPARG,RB1
R-HSA-9820841	M-decay: degradation of maternal mRNAs by maternally stored factors	5	BIRC5,CNOT4,EIF4G1,KDM5A,KDM5B
R-HSA-9820952	Respiratory Syncytial Virus Infection Pathway	10	BECN1,CDK19,CSNK2A2,EGFR,GPC1,HSPA8,IFNAR1,IGF1R,TLR4,UBE2L6
R-HSA-9824439	Bacterial Infection Pathways	9	CALM3,COL4A1,CORO1A,CTNND1,LAMA3,SNAP25,SRC,STX1A,TXNRD1
R-HSA-9824443	Parasitic Infection Pathways	27	ABL1,APP,BTK,CDC42,CREB1,CRK,FYN,FZD7,GNAI1,GNAI2,GNAS,GNB5,HMOX1,IL1B,JUN,LYN,MYO10,NCK1,NFKB2,PRKACA,PRKX,PTK2,SRC,SYK,VAV3,WASF3,WIPF2
R-HSA-9824585	Regulation of MITF-M-dependent genes involved in pigmentation	7	BCL7B,CREB1,RAB27A,SMARCA4,SMARCC1,SMARCD2,TFAP2A
R-HSA-9825892	Regulation of MITF-M-dependent genes involved in cell cycle and proliferation	8	CCNB1,CCND1,CDC25B,CDK2,CDKN1A,CDKN2A,PLK1,TBX2
R-HSA-982772	Growth hormone receptor signaling	8	GHR,LYN,PTPN1,PTPN6,SOCS2,STAT1,STAT3,STAT5B
R-HSA-983168	Antigen processing: Ubiquitination & Proteasome degradation	22	BLMH,CBLB,CCNF,CDC20,FBXL12,FBXO11,FBXO21,FBXO7,HERC6,KEAP1,KLHL21,KLHL9,LRRC41,PSMD2,SKP1,STUB1,UBE2A,UBE2C,UBE2J1,UBE2L6,UBE3B,UBE3C
R-HSA-983169	Class I MHC mediated antigen processing & presentation	35	BECN1,BLMH,BTK,CBLB,CCNF,CDC20,CTSL,FBXL12,FBXO11,FBXO21,FBXO7,HERC6,IKBKB,ITGB5,KEAP1,KLHL21,KLHL9,LRRC41,PIK3C3,PIK3R4,PSMB10,PSMB8,PSMD2,PSME1,PSME2,SKP1,STUB1,STX4,TLR4,UBE2A,UBE2C,UBE2J1,UBE2L6,UBE3B,UBE3C
R-HSA-983189	Kinesins	5	CENPE,KIF20A,KIF2C,KIF5C,TUBB6
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	15	ABL1,CDC42,CDK2,CENPE,GATA2,GATA3,HDAC2,HMG20B,KIF20A,KIF2C,KIF5C,PRKACA,RAD51C,TP53,TUBB6
R-HSA-9833110	RSV-host interactions	6	BECN1,CDK19,GPC1,IFNAR1,TLR4,UBE2L6
R-HSA-9833482	PKR-mediated signaling	12	CDK1,HSPA1A,HSPA8,IKBKB,NCK1,PPP2R5A,SNCA,STAT1,STAT3,TP53,TUBB6,UBE2L6
R-HSA-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	6	BTK,FYN,LYN,NCK1,PTPN6,SYK
R-HSA-983705	Signaling by the B Cell Receptor (BCR)	15	BTK,FYN,IKBKB,LYN,MALT1,NCK1,NFATC3,NFKBIA,NFKBIB,NFKBIE,NRAS,PSMD2,PTPN6,SKP1,SYK
R-HSA-983712	Ion channel transport	8	ANO10,ATP11B,ATP1B1,ATP2C1,ATP6V0B,ATP6V1D,MCOLN1,TSC22D3
R-HSA-9837999	Mitochondrial protein degradation	19	ALAS1,APP,BDH1,CLPX,DLD,ECH1,HADH,HSD17B10,HSPD1,IARS2,ME2,MRPL12,MRPS2,OXCT1,PCCB,PRKACA,TIMM22,TIMM9,YME1L1
R-HSA-9839923	Dengue Virus Infection	30	BECN1,CHERP,CPSF4,DAXX,DDX42,EIF4G1,ELAVL1,GPC1,HSPA1A,HSPA8,HYOU1,IKBKE,LYN,NFKBIA,NFKBIB,NMT1,P4HA2,PAF1,PIK3C3,PIK3R4,POLR2I,POLR2K,PPIE,PROS1,PUF60,RNPS1,RPN1,SMNDC1,TJP1,TLR4
R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)	7	AKT1,ATF5,CAT,FOXO3,HSPA1A,HSPD1,SIRT3
R-HSA-9841922	MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis	6	ABL1,CEBPA,NCOA3,PEX11A,PPARG,RB1
R-HSA-9842860	Regulation of endogenous retroelements	7	BCL7B,DNMT3A,HDAC2,MTA1,SMARCA4,SMARCC1,SMARCD2
R-HSA-9843745	Adipogenesis	9	CCND3,CDK19,CDK4,CEBPA,CEBPD,HDAC2,MTA1,NCOA3,PPARG
R-HSA-9845323	Regulation of endogenous retroelements by Piwi-interacting RNAs (piRNAs)	7	BCL7B,DNMT3A,HDAC2,MTA1,SMARCA4,SMARCC1,SMARCD2
R-HSA-9851695	Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes	6	ABL1,CEBPA,NCOA3,PEX11A,PPARG,RB1
R-HSA-9855142	Cellular responses to mechanical stimuli	16	ABL1,AKT1,FYN,GNA11,GNAS,GNB5,IKBKB,IKBKE,NFKBIA,NOS3,PIK3CA,PRKACA,PTK2,PTPN1,SPP1,STAT1
R-HSA-9856530	High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells	8	AKT1,FYN,GNA11,GNAS,GNB5,NOS3,PIK3CA,PRKACA
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	5	CREB1,EDN1,KIT,RPS6KA1,SOX2
R-HSA-9856651	MITF-M-dependent gene expression	25	ASAH1,ATP6V0B,ATP6V1D,BCL2,BCL7B,BRCA1,CCNB1,CCND1,CDC25B,CDK2,CDKN1A,CDKN2A,CREB1,LIG1,PLK1,PXN,RAB27A,SERPINE1,SMARCA4,SMARCC1,SMARCD2,SOX2,TBX2,TERT,TFAP2A
R-HSA-9860927	Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells	8	ABL1,GNA11,IKBKB,IKBKE,NFKBIA,PTK2,PTPN1,STAT1
R-HSA-9860931	Response of endothelial cells to shear stress	15	ABL1,AKT1,FYN,GNA11,GNAS,GNB5,IKBKB,IKBKE,NFKBIA,NOS3,PIK3CA,PRKACA,PTK2,PTPN1,STAT1
R-HSA-9907900	Proteasome assembly	10	PSMB10,PSMB8,PSMD10,PSMD2,PSMD4,PSMD9,PSME1,PSME2,PSMF1,PSMG1
R-HSA-9909396	Circadian clock	9	BHLHE40,CREB1,CSNK1E,CSNK2A2,MEF2C,NRIP1,PSMD2,SERPINE1,SKP1
R-HSA-9909615	Regulation of PD-L1(CD274) Post-translational modification	7	CCND1,CDK4,CSNK2A2,PRKAG2,PSMD2,RPN1,SKP1
R-HSA-9909648	Regulation of PD-L1(CD274) expression	18	CCND1,CDK4,CSNK2A2,EED,EZH2,FOS,HIF1A,JUN,MYC,NFE2L2,NFKB2,PRKAG2,PSMD2,RPN1,SKP1,STAT1,STAT3,SUZ12
R-HSA-9909649	Regulation of PD-L1(CD274) transcription	11	EED,EZH2,FOS,HIF1A,JUN,MYC,NFE2L2,NFKB2,STAT1,STAT3,SUZ12
R-HSA-9917777	Epigenetic regulation by WDR5-containing histone modifying complexes	8	ABL1,AKAP8L,CEBPA,NCOA3,PEX11A,PPARG,PSIP1,RB1
R-HSA-9918481	Dengue Virus-Host Interactions	22	BECN1,CHERP,CPSF4,DAXX,DDX42,ELAVL1,GPC1,HSPA8,IKBKE,NFKBIA,NFKBIB,PAF1,PIK3C3,PIK3R4,POLR2I,POLR2K,PPIE,PUF60,RNPS1,SMNDC1,TJP1,TLR4
R-HSA-9918487	Dengue Virus Genome Translation and Replication	7	EIF4G1,HSPA1A,HSPA8,HYOU1,NMT1,P4HA2,RPN1
R-HSA-9920951	Dengue virus modulates apoptosis	6	BECN1,DAXX,NFKBIA,NFKBIB,PIK3C3,PIK3R4
R-HSA-9932444	ATP-dependent chromatin remodelers	13	BCL7B,CHERP,DDX42,HDAC2,IKZF1,MTA1,NFE2L2,PAF1,PUF60,SMARCA4,SMARCC1,SMARCD2,SMNDC1
R-HSA-9937383	Mitochondrial ribosome-associated quality control	5	MRPL12,MRPL19,MRPS16,MRPS2,OXA1L
R-HSA-9937848	CHD chromatin remodelers	9	CHERP,DDX42,HDAC2,IKZF1,MTA1,NFE2L2,PAF1,PUF60,SMNDC1
R-HSA-9943411	CHD1 and CHD2 subfamily	5	CHERP,DDX42,PAF1,PUF60,SMNDC1
R-HSA-9945266	Differentiation of T cells	14	ETS1,FOS,GATA3,HDAC2,HDAC6,IL4R,JUN,MAMLD1,MTA1,NOTCH1,SATB1,SMARCA4,STAT1,STAT5B
R-HSA-9948299	Ribosome-associated quality control	5	ASCC3,PSMD2,RPL39L,RPS5,RPS6
R-HSA-9958810	SRC activates STAT3 in a quantitative manner, through Cadherin-11 (CDH11), RAC1 and gp130 (IL6ST)	5	CDC42,CTNND1,CTSL,SRC,TIAM1
R-HSA-9958825	Activation of STAT3 by cadherin engagement	8	BIRC2,CDC42,CTNND1,CTSL,PSMD2,SRC,STAT3,TIAM1
R-HSA-9975921	Assembly of the 9+0 primary cilium	11	CCP110,CDK1,CEP57,CSNK1E,HDAC6,PAFAH1B1,PCM1,PLK1,PRKACA,TCTN1,TUBB6
R-HSA-9976102	Differentiation of naive CD4+ T cells to T helper 2 cells (Th2 cells)	13	ETS1,FOS,GATA3,HDAC2,HDAC6,IL4R,JUN,MAMLD1,MTA1,NOTCH1,SATB1,SMARCA4,STAT5B
