canonical_row	l1000_symbol	entrez_id	hgnc_symbol	resolved_via
518	PCMT1	5110	PCMT1	same
519	RELB	5971	RELB	same
520	GNA15	2769	GNA15	same
521	INPP4B	8821	INPP4B	same
522	CBR3	874	CBR3	same
523	CHEK1	1111	CHEK1	same
524	SMAD3	4088	SMAD3	same
525	DAG1	1605	DAG1	same
526	PHKA1	5255	PHKA1	same
527	FOXO4	4303	FOXO4	same
528	PIGB	9488	PIGB	same
529	PDGFA	5154	PDGFA	same
530	CASP10	843	CASP10	same
531	GHR	2690	GHR	same
532	C5	727	C5	same
533	BTK	695	BTK	same
534	RPP38	10557	RPP38	same
535	SNX7	51375	SNX7	same
536	NOS3	4846	NOS3	same
537	SCYL3	57147	SCYL3	same
538	ALAS1	211	ALAS1	same
539	SYNGR3	9143	SYNGR3	same
540	BPHL	670	BPHL	same
541	POLG2	11232	POLG2	same
542	NOLC1	9221	NOLC1	same
543	NFATC4	4776	NFATC4	same
544	CCNA1	8900	CCNA1	same
545	POLE2	5427	POLE2	same
546	DNAJA3	9093	DNAJA3	same
547	FOXJ3	22887	FOXJ3	same
548	RNH1	6050	RNH1	same
549	RAD51C	5889	RAD51C	same
550	EPHA3	2042	EPHA3	same
551	PRKCH	5583	PRKCH	same
552	FUT1	2523	FUT1	same
553	ADRB2	154	ADRB2	same
554	GABPB1	2553	GABPB1	same
555	EGF	1950	EGF	same
556	KIF14	9928	KIF14	same
557	ETV1	2115	ETV1	same
558	CSNK1A1	1452	CSNK1A1	same
559	MAP4K4	9448	MAP4K4	same
560	GLRX	2745	GLRX	same
561	PTPN6	5777	PTPN6	same
562	CPSF4	10898	CPSF4	same
563	LPAR2	9170	LPAR2	same
564	DFFB	1677	DFFB	same
565	SLC35A3	23443	SLC35A3	same
566	HDAC6	10013	HDAC6	same
567	GLI2	2736	GLI2	same
568	CDKN2A	1029	CDKN2A	same
569	E2F2	1870	E2F2	same
570	CDK6	1021	CDK6	same
571	AKT1	207	AKT1	same
572	CASP7	840	CASP7	same
573	TNIP1	10318	TNIP1	same
574	TERT	7015	TERT	same
575	PTPRC	5788	PTPRC	same
576	TGFBR2	7048	TGFBR2	same
577	NFATC3	4775	NFATC3	same
578	RAC2	5880	RAC2	same
579	POLR1C	9533	POLR1C	same
580	NFKB2	4791	NFKB2	same
581	SYK	6850	SYK	same
582	CASK	8573	CASK	same
583	NCOA3	8202	NCOA3	same
584	PSMD9	5715	PSMD9	same
585	PROS1	5627	PROS1	same
586	CASC3	22794	CASC3	same
587	MUC1	4582	MUC1	same
588	ST7	7982	ST7	same
589	NVL	4931	NVL	same
590	MEF2C	4208	MEF2C	same
591	CHP1	11261	CHP1	same
592	HMGA2	8091	HMGA2	same
593	CASP2	835	CASP2	same
594	LSR	51599	LSR	same
595	MALT1	10892	MALT1	same
596	TBPL1	9519	TBPL1	same
597	CTNND1	1500	CTNND1	same
598	CIAPIN1	57019	CIAPIN1	same
599	BAX	581	BAX	same
600	PPARG	5468	PPARG	same
601	SPTAN1	6709	SPTAN1	same
602	EIF4G1	1981	EIF4G1	same
603	VAT1	10493	VAT1	same
604	MACF1	23499	MACF1	same
605	PARP1	142	PARP1	same
606	FDFT1	2222	FDFT1	same
607	HSPA8	3312	HSPA8	same
608	PDLIM1	9124	PDLIM1	same
609	EIF5	1983	EIF5	same
610	CCND1	595	CCND1	same
611	TMCO1	54499	TMCO1	same
612	OXA1L	5018	OXA1L	same
613	CDC42	998	CDC42	same
614	TSC22D3	1831	TSC22D3	same
615	PTK2	5747	PTK2	same
616	ADH5	128	ADH5	same
617	REEP5	7905	REEP5	same
618	DUSP6	1848	DUSP6	same
619	HLA-DRA	3122	HLA-DRA	same
620	ATP6V1D	51382	ATP6V1D	same
621	CYCS	54205	CYCS	same
622	CAST	831	CAST	same
623	LGALS8	3964	LGALS8	same
624	BECN1	8678	BECN1	same
625	ALDH7A1	501	ALDH7A1	same
626	STAT3	6774	STAT3	same
627	DNAJB6	10049	DNAJB6	same
628	COPS7A	50813	COPS7A	same
629	PSMB8	5696	PSMB8	same
630	XPNPEP1	7511	XPNPEP1	same
631	RALGDS	5900	RALGDS	same
632	CORO1A	11151	CORO1A	same
633	GLOD4	51031	GLOD4	same
634	DLD	1738	DLD	same
635	IFRD2	7866	IFRD2	same
636	TSPAN6	7105	TSPAN6	same
637	CDKN1B	1027	CDKN1B	same
638	PRPF4	9128	PRPF4	same
639	CYB561	1534	CYB561	same
640	MAN2B1	4125	MAN2B1	same
641	MBOAT7	79143	MBOAT7	same
642	FOS	2353	FOS	same
643	TUBB6	84617	TUBB6	same
644	CBR1	873	CBR1	same
645	MFSD10	10227	SLC75A1	entrez
646	SORBS3	10174	SORBS3	same
647	SMC3	9126	SMC3	same
648	SFN	2810	SFN	same
649	NR2F6	2063	NR2F6	same
650	TSPAN4	7106	TSPAN4	same
651	GADD45B	4616	GADD45B	same
652	PSIP1	11168	PSIP1	same
653	IKBKB	3551	IKBKB	same
654	BAD	572	BAD	same
655	STXBP2	6813	STXBP2	same
656	ABCC5	10057	ABCC5	same
657	KIF2C	11004	KIF2C	same
658	GRB10	2887	GRB10	same
659	ARHGEF2	9181	ARHGEF2	same
660	AURKB	9212	AURKB	same
661	MKNK1	8569	MKNK1	same
662	RPA3	6119	RPA3	same
663	RAB27A	5873	RAB27A	same
664	HDGFRP3	50810	HDGFL3	entrez
665	GSTZ1	2954	GSTZ1	same
666	RRS1	23212	RRS1	same
667	EED	8726	EED	same
668	GNAI1	2770	GNAI1	same
669	PRUNE	58497	PRUNE1	entrez
670	EPHB2	2048	EPHB2	same
671	GATA3	2625	GATA3	same
672	ACAT2	39	ACAT2	same
673	PAK1	5058	PAK1	same
674	CETN3	1070	CETN3	same
675	CBLB	868	CBLB	same
676	GATA2	2624	GATA2	same
677	TGFB3	7043	TGFB3	same
678	CXCL2	2920	CXCL2	same
679	HIST1H2BK	85236	H2BC12	entrez
680	ANXA7	310	ANXA7	same
681	SPP1	6696	SPP1	same
682	PUF60	22827	PUF60	same
683	CFLAR	8837	CFLAR	same
684	PRKCQ	5588	PRKCQ	same
685	MAPK13	5603	MAPK13	same
686	FYN	2534	FYN	same
687	RPL39L	116832	RPL39L	same
688	PLA2G4A	5321	PLA2G4A	same
689	DYRK3	8444	DYRK3	same
690	ME2	4200	ME2	same
691	ACLY	47	ACLY	same
692	CHEK2	11200	CHEK2	same
693	GPER1	2852	GPER1	same
694	HMG20B	10362	HMG20B	same
695	LYN	4067	LYN	same
696	GRB7	2886	GRB7	same
697	DHRS7	51635	DHRS7	same
698	TPM1	7168	TPM1	same
699	HSPA4	3308	HSPA4	same
700	MLLT11	10962	MLLT11	same
701	CDK7	1022	CDK7	same
702	RAE1	8480	RAE1	same
703	BMP4	652	BMP4	same
704	BDH1	622	BDH1	same
705	BID	637	BID	same
706	BLVRA	644	BLVRA	same
707	LSM5	23658	LSM5	same
708	TXNDC9	10190	TXNDC9	same
709	MTA1	9112	MTA1	same
710	CXCR4	7852	CXCR4	same
711	COL4A1	1282	COL4A1	same
712	RNF167	26001	RNF167	same
713	WIPF2	147179	WIPF2	same
714	TBC1D9B	23061	TBC1D9B	same
715	ADGRG1	9289	ADGRG1	same
716	HN1L	90861	JPT2	entrez
717	ZMIZ1	57178	ZMIZ1	same
718	PDS5A	23244	PDS5A	same
719	IGFBP3	3486	IGFBP3	same
720	XPO7	23039	XPO7	same
721	CRKL	1399	CRKL	same
722	COG4	25839	COG4	same
723	H2AFV	94239	H2AZ2	entrez
724	FBXO21	23014	FBXO21	same
725	ATP2C1	27032	ATP2C1	same
726	TMEM97	27346	TMEM97	same
727	SUZ12	23512	SUZ12	same
728	TXLNA	200081	TXLNA	same
729	TFDP1	7027	TFDP1	same
730	VGLL4	9686	VGLL4	same
731	UBE3B	89910	UBE3B	same
732	KIF1BP	26128	KIFBP	entrez
733	SPRED2	200734	SPRED2	same
734	KAT6B	23522	KAT6B	same
735	GPATCH8	23131	GPATCH8	same
736	ADO	84890	ADO	same
737	ATP11B	23200	ATP11B	same
738	ZNF451	26036	ZNF451	same
739	RBM34	23029	RBM34	same
740	ARID5B	84159	ARID5B	same
741	CHN1	1123	CHN1	same
742	MAPK1IP1L	93487	MAPK1IP1L	same
743	DHX29	54505	DHX29	same
744	JADE2	23338	JADE2	same
745	TIPARP	25976	TIPARP	same
746	KDM3A	55818	KDM3A	same
747	PCCB	5096	PCCB	same
748	PLEKHM1	9842	PLEKHM1	same
749	JMJD6	23210	JMJD6	same
750	PIK3R4	30849	PIK3R4	same
751	CAMSAP2	23271	CAMSAP2	same
