source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0006796	Phosphate-Containing Compound Metabolic Process	19	AKT1,ALDOA,ALDOC,CERK,COQ8A,DUSP22,DUSP3,DUSP4,EPHB2,GFPT1,HK1,INPP1,INPP4B,PAK1,PFKL,PIK3CA,PLA2G15,PTPRC,STAT3
GO:BP	GO:0006816	Calcium Ion Transport	5	ATP2C1,FYN,MCOLN1,MCUR1,TMCO1
GO:BP	GO:0006839	Mitochondrial Transport	14	BAD,BCL2,BNIP3,FBXO7,FIS1,KIFBP,OXA1L,PMAIP1,SLC25A13,SLC25A4,TIMM17B,TIMM9,TOMM34,TOMM70
GO:BP	GO:0006874	Intracellular Calcium Ion Homeostasis	13	ATP1B1,ATP2C1,BAX,BCL2,CD40,CHERP,EDN1,GPER1,HERPUD1,PRKACA,TMCO1,VAPB,WFS1
GO:BP	GO:0006886	Intracellular Protein Transport	37	ACD,AKT1,ARFIP2,ARHGEF2,ARL4C,BAG3,C2CD5,CHP1,CLTC,COG7,COPB2,CTTN,DNAJC15,HDAC6,IPO13,NUP133,NUP62,NUP85,NUP88,NUP93,OXA1L,RAB21,RAB31,RTN2,SNX13,SNX6,STAT3,STX1A,STX4,STXBP1,STXBP2,SYK,TIMM17B,TMED10,TRAK2,VPS28,XPO7
GO:BP	GO:0006887	Exocytosis	9	RAB11FIP2,RAB27A,RAB31,SCRN1,SNAP25,STX1A,STX4,SYNGR3,TMED10
GO:BP	GO:0006897	Endocytosis	17	ADRB2,APOE,APP,CDC42,CLTC,CORO1A,CSNK1E,CTTN,DNM1,EPN2,HOOK2,IGF2R,JMJD6,MICALL1,PIK3C3,RAB11FIP2,TLR4
GO:BP	GO:0006898	Receptor-Mediated Endocytosis	15	ADRB2,APOE,CLTB,CLTC,CTSL,CTTN,DNM1,FCHO1,IGF2R,MICALL1,RAB31,RALA,RALB,SNCA,SYK
GO:BP	GO:0006915	Apoptotic Process	38	AKT1,APP,BAD,BAX,BCL2,BID,BNIP3,CASP10,CASP2,CASP3,CASP7,CFLAR,CHEK1,CXCR4,DDIT4,ERBB3,FAS,GADD45A,GAPDH,HSPD1,IER3,IL1B,MELK,MYC,NFKBIA,PAK4,PAK6,PARP1,PIK3CA,PLSCR1,PLSCR3,PMAIP1,PPARD,PRKCD,PTK2B,TGFBR2,TNFRSF21,VDAC1
GO:BP	GO:0006919	Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process	10	BAD,BAX,BID,CASP10,CASP2,CYCS,HSPD1,PPARG,SMAD3,SNCA
GO:BP	GO:0006954	Inflammatory Response	20	ADGRE5,CCL2,CD40,CD44,CXCL2,CXCR4,FOS,GATA3,IKBKB,IL1B,KIT,MAPK9,MAPKAPK2,NFATC3,NFATC4,NFKB2,RELB,STAT3,TBXA2R,TLR4
GO:BP	GO:0006974	DNA Damage Response	49	ABL1,BAX,BCL2,BID,BRCA1,CASP2,CCND1,CDK1,CDKN1A,CHEK1,CHEK2,CSNK1E,DDB2,GADD45A,IER3,IKBKE,INTS3,LIG1,LYN,MAPKAPK2,MNAT1,MSH6,MYC,PAK1,PARP1,PARP2,PDS5A,PNKP,POLB,POLE2,PRKCD,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA3,SFN,SMC1A,SUV39H1,TENT4A,TIMELESS,TLK2,TOP2A,TOPBP1,TP53,TP53BP1,UBE2A,VAV3
GO:BP	GO:0006986	Response To Unfolded Protein	11	BAX,DAXX,DNAJB1,DNAJB2,HERPUD1,HSPA1A,HSPA4,HSPA8,HSPB1,HSPD1,PTPN1
