source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0051247	Positive Regulation Of Protein Metabolic Process	25	AKT1,APOE,APP,AXIN1,BAD,CDKN1B,CIRBP,EIF4G1,ELAVL1,ERBB2,FGFR4,HDAC2,IDE,IL1B,MAP2K5,NFKBIA,NR1H2,PLK1,SOX4,STUB1,TIPARP,VGLL4,VPS28,WFS1,YTHDF1
GO:BP	GO:0051248	Negative Regulation Of Protein Metabolic Process	13	AKT1,APOE,EDN1,EGFR,EPRS1,GAPDH,GRB7,HDAC6,HMGCR,IFRD2,IGF2BP2,PIN1,TRIM2
GO:BP	GO:0051259	Protein Complex Oligomerization	10	DNM1L,ELAVL1,JMJD6,MAT2A,NOL3,OXA1L,SNCA,TP53BP1,UGDH,YME1L1
GO:BP	GO:0051260	Protein Homooligomerization	9	ALDOA,CRYZ,ELAVL1,HPRT1,HSD17B10,JMJD6,MCOLN1,NOL3,TP53BP1
GO:BP	GO:0051302	Regulation Of Cell Division	17	AURKA,AURKB,BECN1,CALM3,CCP110,FGFR2,FSD1,KIF20A,KLHL21,KLHL9,MYC,NCOA3,PIK3C3,PIK3R4,PIN1,PLK1,SFN
GO:BP	GO:0051310	Metaphase Plate Congression	12	BECN1,CCNB1,CENPE,CHMP4A,CHMP6,EML3,KIF14,KIF2C,NUP62,PSRC1,RRS1,ZW10
GO:BP	GO:0051345	Positive Regulation Of Hydrolase Activity	16	CALM3,CCL2,CD40,CTSL,ERBB2,EZH2,GNB5,MAP4K4,PIN1,RAB11FIP2,RALGDS,RAP1GAP,RHOA,RSU1,SNX13,USP6NL
GO:BP	GO:0051347	Positive Regulation Of Transferase Activity	25	APOE,AURKB,AXIN1,DCUN1D4,DDR1,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,IGF1R,MAP3K4,MAPKAPK5,MYC,NVL,PCNA,PIN1,PLK1,PNKP,POLG2,PRKCQ,RFC2,RFC5,TNIP1,TRIB3
GO:BP	GO:0051492	Regulation Of Stress Fiber Assembly	13	CARMIL1,CDC42,EVL,ITGB1BP1,PAK1,PXN,RHOA,SORBS3,STMN1,TESK1,TGFB3,TJP1,TPM1
GO:BP	GO:0051493	Regulation Of Cytoskeleton Organization	15	CDC42,CLIC4,CORO1A,CRK,EPHA3,PAK1,PDGFA,PRKCD,PTK2,RALA,RHOA,SORBS3,TESK1,TJP1,TWF2
GO:BP	GO:0051496	Positive Regulation Of Stress Fiber Assembly	11	CARMIL1,CDC42,EVL,ITGB1BP1,PAK1,PXN,RHOA,SORBS3,TESK1,TGFB3,TPM1
GO:BP	GO:0051603	Proteolysis Involved In Protein Catabolic Process	10	CHMP4A,CLPX,CTSL,HDAC6,IDE,LGMN,MALT1,PMAIP1,STUB1,YME1L1
GO:BP	GO:0051607	Defense Response To Virus	14	BCL2,BNIP3,BNIP3L,CD40,DDIT4,EXOSC4,G3BP1,IKBKE,NCK1,PLSCR1,PMAIP1,PTPRC,STAT1,TRIM13
GO:BP	GO:0051726	Regulation Of Cell Cycle	38	BIRC2,BMP4,BRCA1,CCNF,CDC20,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CHEK1,DYNLT3,FGFR2,GADD45A,GADD45B,GATA3,GMNN,GPER1,HMGA2,IQGAP1,JADE2,JUN,MYC,PLK1,PPP1R13B,PRKACA,PTPRC,PTPRK,RB1,RNF167,RRP8,RUVBL1,STAT3,SUV39H1,TP53,TP53BP2,VPS72
GO:BP	GO:0051893	Regulation Of Focal Adhesion Assembly	10	DUSP22,DUSP3,EPHA3,FYN,ITGB1BP1,MACF1,MAP4K4,PTK2,RHOA,SRC
GO:BP	GO:0051896	Regulation Of Protein Kinase B Signaling	11	DAG1,EGF,EGFR,GATA3,GPER1,IGF1R,ITGB1BP1,PDGFA,PIK3CA,PTK2,SRC
GO:BP	GO:0060236	Regulation Of Mitotic Spindle Organization	11	CHMP4A,CHMP6,CLTC,EML3,FSD1,GNAI1,HSPA1A,NUP62,PLK1,PSRC1,RAE1
GO:BP	GO:0060255	Regulation Of Macromolecule Metabolic Process	18	APOE,APP,ATP1B1,CDK2,CDK4,CDK6,CIAO3,DAXX,HIF1A,HMG20B,IGF2BP2,MYC,NPC1,PIN1,PTPRC,RASA1,SOX2,TSKU
GO:BP	GO:0060429	Epithelium Development	15	ALDOC,ANXA7,CBR1,CDK1,DAG1,FGFR2,OXSR1,PAX8,PCNA,PIH1D1,PPARG,STAT1,TBX2,TIMELESS,VDAC1
GO:BP	GO:0060548	Negative Regulation Of Cell Death	13	AKT1,BECN1,BNIP3,BNIP3L,CHMP4A,CHMP6,EIF4G1,FYN,NUP62,SNCA,TMEM109,WFS1,XPNPEP1
GO:BP	GO:0060828	Regulation Of Canonical Wnt Signaling Pathway	18	APOE,AXIN1,BAMBI,CDH3,COL1A1,CSNK1A1,CSNK1E,CTNND1,EGF,EGFR,FGFR2,FZD7,ILK,PIN1,RUVBL1,SOX2,SOX4,TLE1
GO:BP	GO:0061024	Membrane Organization	14	ATP2C1,CHMP4A,CHMP6,CHP1,DNM1L,EGFR,HSPA8,KIF20A,NPC1,NUP93,REEP5,TOR1A,VAPB,VPS28
GO:BP	GO:0061640	Cytoskeleton-Dependent Cytokinesis	10	AURKB,BIRC5,CHMP4A,KIF20A,NUSAP1,PLK1,RASA1,RHOA,STAMBP,STMN1
GO:BP	GO:0062197	Cellular Response To Chemical Stress	12	ABL1,FAS,FOXO3,HSPA1A,KEAP1,MSRA,NFE2L2,PARP1,PIK3CA,PYCR1,SNCA,STX4
GO:BP	GO:0065003	Protein-Containing Complex Assembly	40	ADRB2,AXIN1,BAD,BECN1,CD40,CENPE,CHMP4A,CLTC,COG4,DNM1L,EPRS1,FAS,FCHO1,HES1,HSPA1A,HSPA4,HSPD1,ITGB1BP1,MNAT1,NCK1,NCK2,NOL3,NPC1,PIH1D1,PSMG1,PTK2B,PXN,SLC25A46,SMAD3,SNCA,SRC,STXBP1,TIAM1,TMED10,TP53,TRAPPC3,TRAPPC6A,TSPAN4,WASF3,ZW10
GO:BP	GO:0070372	Regulation Of ERK1 And ERK2 Cascade	32	APOE,APP,CCL2,CCNA2,CD44,CRKL,DDR1,DUSP3,DUSP4,DUSP6,EGFR,EPHB2,ERBB2,FGFR2,FGFR4,GPER1,ICAM1,IL1B,ITGB1BP1,LYN,NOTCH1,PDGFA,PIN1,PTK2B,PTPN1,PTPN6,PTPRC,SHC1,SPRED2,SYK,TLR4,TNIP1
GO:BP	GO:0070373	Negative Regulation Of ERK1 And ERK2 Cascade	13	DUSP3,DUSP4,DUSP6,EPHB2,GPER1,ITGB1BP1,LYN,PIN1,PTPN1,PTPRC,SPRED2,TLR4,TNIP1
GO:BP	GO:0070374	Positive Regulation Of ERK1 And ERK2 Cascade	16	APOE,APP,CCL2,CD44,CRKL,DDR1,EGFR,FGFR2,FGFR4,GPER1,ICAM1,NOTCH1,PDGFA,PTK2B,PTPRC,SHC1
GO:BP	GO:0070925	Organelle Assembly	17	ABCB6,ATG3,ATP6V1D,BECN1,CHMP4A,CHMP6,CORO1A,HDAC6,KIAA0753,NOTCH1,NUDCD3,PIK3C3,TBC1D31,TCTN1,UBQLN2,VPS28,YTHDF1
GO:BP	GO:0071219	Cellular Response To Molecule Of Bacterial Origin	13	CASP7,CCL2,CXCL2,IL1B,MEF2C,NFKBIB,RHOA,SERPINE1,TICAM1,TLR4,TNIP1,XBP1,ZFP36
GO:BP	GO:0071222	Cellular Response To Lipopolysaccharide	14	CASP7,CCL2,CXCL2,IL1B,LYN,MEF2C,NFKBIB,RHOA,SERPINE1,TICAM1,TLR4,TNIP1,XBP1,ZFP36
GO:BP	GO:0071248	Cellular Response To Metal Ion	16	AKT1,BNIP3,CDKN1B,CLIC4,CPNE3,DAXX,EGFR,FOS,IQGAP1,JUN,LGMN,MAPK9,MCOLN1,MEF2C,SNCA,TFAP2A
GO:BP	GO:0071310	Cellular Response To Organic Substance	13	CCL2,CXCR4,EDN1,GHR,HDAC6,IL1B,NCOA3,RHOA,SOCS2,STAT3,STAT5B,SYK,TIPARP
GO:BP	GO:0071345	Cellular Response To Cytokine Stimulus	37	AKT1,ARHGEF2,ASAH1,BRCA1,CCL2,CD40,CD58,CEBPA,CXCR4,EGR1,EPRS1,GAPDH,GATA3,GHR,GPER1,HIF1A,IFNAR1,IKBKB,IL13RA1,IL1B,IL4R,KIT,MAPK13,NFE2L2,NFKBIA,OXSR1,PLP2,PRKACA,PTPN6,RHOA,STAT1,STAT3,STAT5B,TLR4,TNFRSF21,XBP1,ZFP36
GO:BP	GO:0071356	Cellular Response To Tumor Necrosis Factor	21	AKT1,ARHGEF2,ASAH1,BIRC2,BRCA1,CCL2,CD40,CD58,FOXO3,GATA3,GPER1,IKBKB,ILK,NFE2L2,NFKBIA,PTK2B,RRAGA,STAT1,TNFRSF21,TP53,ZFP36
GO:BP	GO:0071363	Cellular Response To Growth Factor Stimulus	26	AKT1,BMP4,CCL2,CD44,CPNE3,CRKL,DUSP22,DUSP3,EGFR,ERBB2,HSPB1,IQGAP1,ITGB1BP1,LGMN,MAP2K5,MAPKAPK2,MEF2C,NOTCH1,NR3C1,PTPN12,SHC1,SMAD3,STAT5B,TGFBR2,TWF2,ZFP36
GO:BP	GO:0071375	Cellular Response To Peptide Hormone Stimulus	13	AKT1,C2CD5,EPRS1,GPER1,INSIG1,PARP1,PCK2,PPARG,PRKCD,RAB31,SRC,TRIB3,XBP1
GO:BP	GO:0071396	Cellular Response To Lipid	30	CASP7,CCL2,CREB1,CXCL2,EGFR,EPHA3,FZD7,GNAI1,GPER1,HSPA1A,HSPA8,IL1B,INSIG1,LYN,MEF2C,NCOA3,NFKBIB,NR3C1,NRIP1,PTK2B,RHOA,SERPINE1,SPP1,SYK,TICAM1,TLR4,TNIP1,TWF2,XBP1,ZFP36
GO:BP	GO:0071407	Cellular Response To Organic Cyclic Compound	19	BRCA1,CASP3,CASP7,CCL2,CREB1,EGFR,EGR1,GNAI1,GPER1,HSPA1A,HSPA8,IL1B,INSIG1,MEF2C,NCOA3,NR3C1,NRIP1,SPP1,TIPARP
GO:BP	GO:0071456	Cellular Response To Hypoxia	16	ADO,BAD,BNIP3,BNIP3L,HIF1A,HMOX1,HYOU1,MYC,NOTCH1,PMAIP1,PPARG,PTGS2,STUB1,SUV39H1,TERT,TP53
GO:BP	GO:0071482	Cellular Response To Light Stimulus	11	AURKB,CDC25A,DDB2,MAPK13,MYC,PARP1,PCNA,PRKCD,PTPRK,TENT4A,TP53
GO:BP	GO:0071560	Cellular Response To Transforming Growth Factor Beta Stimulus	16	BAMBI,CRKL,FOS,ITGB5,JUN,MEF2C,NR3C1,PTK2,PTPRK,PXN,SMAD3,SRC,STAT3,TGFB3,TGFBR2,ZMIZ1
GO:BP	GO:0071900	Regulation Of Protein Serine/Threonine Kinase Activity	32	ADRB2,AKT1,CAB39,CALM3,CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CCNE2,CCNF,CCNH,CDC25A,CDK5R1,CDK7,CDKN1A,CDKN1B,CDKN2A,EZH2,GADD45A,HMGA2,MNAT1,PIH1D1,RALB,RB1,RHOA,SNCA,SRC,TESK1,TRIB1,TRIB3
GO:BP	GO:0071901	Negative Regulation Of Protein Serine/Threonine Kinase Activity	18	AKT1,APOE,BMP4,CDKN1A,CDKN1B,CDKN2A,CEBPA,GADD45A,IL1B,LYN,PKIG,PLK1,PPARG,PRKCD,PTPN1,RB1,RGS2,TESK1
GO:BP	GO:0071902	Positive Regulation Of Protein Serine/Threonine Kinase Activity	27	ADRB2,AKT1,CAB39,CALM3,CCND1,CCND3,CD40,EDN1,EGF,EGFR,ERBB2,EZH2,GHR,HMGA2,IL1B,KIT,MAP2K5,MEF2C,PDGFA,PIH1D1,PSMD10,PSRC1,RALB,RHOA,SNCA,SRC,TLR4
GO:BP	GO:0072359	Circulatory System Development	12	CDKN1A,CDKN1B,ERBB3,GLI2,ID2,MEF2C,NOTCH1,OXSR1,PDLIM1,PIK3CA,SOX4,TGFBR2
GO:BP	GO:0072594	Establishment Of Protein Localization To Organelle	11	AKT1,HK1,IPO13,NUP133,NUP62,NUP85,NUP88,NUP93,RALA,STAT3,SYK
GO:BP	GO:0072655	Establishment Of Protein Localization To Mitochondrion	11	AKT1,DNAJC15,FBXO7,FIS1,HK1,HSPD1,RALA,TIMM17B,TIMM9,TOMM34,TOMM70
GO:BP	GO:0072657	Protein Localization To Membrane	12	ATP1B1,BID,C2CD5,IKBKB,ITGB1BP1,LRPAP1,MAP7,NPC1,PSMD10,STXBP1,TM9SF2,TM9SF3
GO:BP	GO:0080135	Regulation Of Cellular Response To Stress	12	BRCA1,DNAJB1,DNAJB6,DYRK3,EIF4G1,MAPKAPK2,NFE2L2,RPA2,RUVBL1,SOX4,USP1,USP22
GO:BP	GO:0090068	Positive Regulation Of Cell Cycle Process	15	AURKA,AURKB,BIRC5,CDC25B,CDC42,EDN1,EGF,IL1B,KIF14,NCAPD2,NUP62,NUSAP1,PLSCR1,RHOA,SMC4
GO:BP	GO:0090101	Negative Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway	11	ARID4B,BAMBI,HDAC2,HSPA1A,NOTCH1,PIN1,PPARG,SNX6,SPRED2,STUB1,ZNF451
GO:BP	GO:0090199	Regulation Of Release Of Cytochrome C From Mitochondria	12	BAD,BAX,BID,BNIP3,DNM1L,GPER1,MLLT11,NOL3,PLSCR3,PMAIP1,PSMD10,TP53
GO:BP	GO:0090263	Positive Regulation Of Canonical Wnt Signaling Pathway	11	BAMBI,CDH3,COL1A1,CSNK1E,EGF,EGFR,FGFR2,ILK,PIN1,RUVBL1,SOX4
GO:BP	GO:0090316	Positive Regulation Of Intracellular Protein Transport	14	BAG3,C2CD5,CHP1,CSNK2A2,ERBB2,FIS1,FYN,IL1B,ITGB1BP1,NMT1,PIN1,PRKCD,RAC2,SMAD3
GO:BP	GO:0097191	Extrinsic Apoptotic Signaling Pathway	12	BAD,BAG3,BAX,BCL2,BID,CASP10,CASP2,DAXX,ERBB3,FAS,MLLT11,SMAD3
GO:BP	GO:0097193	Intrinsic Apoptotic Signaling Pathway	23	BAD,BAX,BCL2,BNIP3,BRCA1,CASP2,CASP3,CDKN1A,CHAC1,CHEK2,CYCS,ERO1A,IKBKE,MLLT11,MSH6,PMAIP1,PPP1R13B,PRKCD,RRP8,SFN,TP53,TP53BP2,TRIB3
GO:BP	GO:0097428	Protein Maturation By Iron-Sulfur Cluster Transfer	1	CISD1
GO:BP	GO:0097435	Supramolecular Fiber Organization	30	ALDOA,APP,ARHGEF2,BAX,BID,CAMSAP2,CARMIL1,CDC42,CHP1,COL1A1,CORO1A,CRTAP,DNAJB6,EVL,FAT1,FSD1,FYN,HDGFL3,HOOK2,KIF14,KIF2C,LOXL1,MYL9,PIN1,PLOD3,RAC2,RHOA,SNCA,STMN1,TPM1
GO:BP	GO:0097485	Neuron Projection Guidance	12	CDK5R1,DAG1,EPHA3,EPHB2,FEZ2,FYN,GLI2,KIF5C,MYCBP2,NOTCH1,PRKCQ,PTK2
GO:BP	GO:0098655	Monoatomic Cation Transmembrane Transport	10	ATP1B1,ATP2C1,ATP6V0B,ATP6V1D,DMAC2L,KCNK1,MCOLN1,NNT,SLC11A2,TMCO1
GO:BP	GO:0098662	Inorganic Cation Transmembrane Transport	10	ATP1B1,ATP2C1,ATP6V0B,ATP6V1D,DMAC2L,KCNK1,MCOLN1,NNT,SLC11A2,TMCO1
GO:BP	GO:0120031	Plasma Membrane Bounded Cell Projection Assembly	12	ARFIP2,ATP6V1D,CARMIL1,HDAC6,KIAA0753,KIT,MAP4K4,MYLK,NOTCH1,NUDCD3,TBC1D31,TCTN1
GO:BP	GO:0120036	Plasma Membrane Bounded Cell Projection Organization	13	APOE,APP,ARFIP2,CARMIL1,CDK5R1,CTTN,HDGFL3,LYN,MICALL1,RB1,STMN1,TOR1A,TPM1
GO:BP	GO:0120161	Regulation Of Cold-Induced Thermogenesis	16	ADRB2,CXCR4,DECR1,ELOVL6,GNAS,GRB10,IGF1R,IL4R,KDM3A,MUC1,NOTCH1,NR1H2,RB1,SMARCA4,SYK,TLR4
GO:BP	GO:0120162	Positive Regulation Of Cold-Induced Thermogenesis	12	ADRB2,CXCR4,DECR1,ELOVL6,GNAS,GRB10,IGF1R,IL4R,KDM3A,MUC1,SMARCA4,SYK
GO:BP	GO:0140546	Defense Response To Symbiont	12	BCL2,BNIP3,BNIP3L,CD40,DDIT4,EXOSC4,G3BP1,IKBKE,PLSCR1,PMAIP1,PTPRC,STAT1
GO:BP	GO:1901215	Negative Regulation Of Neuron Death	18	AKT1,APOE,BCL2,CCL2,EIF4G1,ERBB3,FBXO7,GRN,KIF14,LGMN,MEF2C,NFATC4,PTK2B,RASA1,SNCA,SNX6,TGFB3,WFS1
GO:BP	GO:1901565	Organonitrogen Compound Catabolic Process	10	AMDHD2,CASP3,CASP7,CHEK2,ETFB,GNPDA1,IDE,PLA2G15,PLA2G4A,SQSTM1
GO:BP	GO:1901653	Cellular Response To Peptide	14	ADRB2,APP,ARHGEF2,FYN,GPER1,ICAM1,IGF1R,LGMN,SNX6,SRC,TIMELESS,TLR4,TP53,XBP1
GO:BP	GO:1901701	Cellular Response To Oxygen-Containing Compound	42	AKT1,CASP7,CCL2,CDK2,CDKN1B,CLIC4,CPNE3,CREB1,CXCL2,EGFR,EGR1,EPHA3,FOS,FZD7,GPER1,IL1B,INSIG1,IQGAP1,JUN,LGMN,LYN,MAPK9,MCOLN1,MEF2C,NCOA3,NFKBIB,NRIP1,PRKCD,PTK2B,PTPRK,PXN,RHOA,RRAGA,SERPINE1,SQSTM1,TICAM1,TLR4,TNIP1,TPM1,TWF2,XBP1,ZFP36
GO:BP	GO:1901796	Regulation Of Signal Transduction By P53 Class Mediator	10	AURKA,AURKB,CHEK1,CHEK2,GET1,KAT6A,MAPKAPK5,RRS1,SOX4,USP7
GO:BP	GO:1901800	Positive Regulation Of Proteasomal Protein Catabolic Process	12	AXIN1,CEBPA,CSNK1A1,CSNK1E,DNAJB2,HSPA1A,KEAP1,PLK1,PSMD10,STUB1,TRIB1,TRIB3
GO:BP	GO:1901990	Regulation Of Mitotic Cell Cycle Phase Transition	23	AURKA,BCL7B,CCNH,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CENPE,ID2,KIF14,MNAT1,PLK1,PSME1,PSME2,PTPN6,SMARCA4,SMARCC1,SMARCD2,UBE2C,ZW10
GO:BP	GO:1901992	Positive Regulation Of Mitotic Cell Cycle Phase Transition	14	AKT1,CCNB1,CCND1,CDC20,CDC25A,CDC25B,CDK1,CDK4,EGFR,EIF4G1,RAD51C,RB1,TFDP1,UBE2C
GO:BP	GO:1902075	Cellular Response To Salt	11	CDKN1B,CLIC4,CPNE3,DAXX,EGR1,FYN,IQGAP1,LGMN,MAPK13,MCOLN1,MEF2C
GO:BP	GO:1902475	L-alpha-amino Acid Transmembrane Transport	3	PRAF2,SLC1A4,SLC25A13
GO:BP	GO:1902531	Regulation Of Intracellular Signal Transduction	28	AKT1,ARHGAP1,ARHGEF12,ARHGEF2,AURKA,AURKB,CHEK1,CHEK2,CHN1,CRK,EGFR,GNAI1,HSPB1,IL1B,JPT2,KAT6A,LYN,MAP4K4,MAPKAPK5,NFKBIA,PAK1,PAK4,PAK6,RRS1,SQSTM1,TIAM1,USP7,VAV3
GO:BP	GO:1902532	Negative Regulation Of Intracellular Signal Transduction	24	BCL2,DAG1,DDIT4,DUSP3,DUSP4,DUSP6,GPER1,HERPUD1,IGF1R,LYN,MAPKAPK5,NOL3,NPRL2,PPARG,PSMD10,RPS6KA1,SPRED2,SRC,STAMBP,STAT1,TLE1,TNIP1,TSPAN6,VGLL4
GO:BP	GO:1902806	Regulation Of Cell Cycle G1/S Phase Transition	17	BCL7B,CCNH,CDK7,CDKN1A,CDKN1B,CDKN2A,EZH2,ID2,KIF14,MNAT1,PSME1,PSME2,PTPN6,SMARCA4,SMARCC1,SMARCD2,SOX2
GO:BP	GO:1902893	Regulation Of miRNA Transcription	22	BMP4,EGFR,EGR1,ETS1,FOS,FOSL1,FOXO3,GATA2,GATA3,HIF1A,JUN,MYC,NFATC3,NFATC4,NR3C1,PPARD,PPARG,SMAD3,SMARCA4,STAT3,TERT,TP53
GO:BP	GO:1902895	Positive Regulation Of miRNA Transcription	18	EGFR,EGR1,ETS1,FOS,FOSL1,FOXO3,GATA2,GATA3,HIF1A,JUN,MYC,NR3C1,PPARG,SMAD3,SMARCA4,STAT3,TERT,TP53
GO:BP	GO:1902904	Negative Regulation Of Supramolecular Fiber Organization	11	APOE,ARHGEF2,CAMSAP2,CORO1A,HDGFL3,HSPA8,PIK3CA,PRKCD,SNCA,STMN1,TWF2
GO:BP	GO:1902905	Positive Regulation Of Supramolecular Fiber Organization	13	APOE,APP,CARMIL1,CDK5R1,CTTN,EDN1,EVL,NCK1,NCK2,PAK1,PSRC1,PTK2B,RB1
GO:BP	GO:1903076	Regulation Of Protein Localization To Plasma Membrane	12	AKT1,CLTC,EGFR,EPHA3,EPHB2,GPER1,LRPAP1,PLS1,PPP2R5A,PRKCH,SQSTM1,STX4
GO:BP	GO:1903078	Positive Regulation Of Protein Localization To Plasma Membrane	10	AKT1,ATP2C1,EGFR,EPHA3,EPHB2,GPER1,PLS1,PRKCH,SQSTM1,STX4
GO:BP	GO:1903322	Positive Regulation Of Protein Modification By Small Protein Conjugation Or Removal	10	AXIN1,BIRC2,BRCA1,DCUN1D4,MALT1,MYCBP2,PSMD10,STUB1,TNIP1,WFS1
GO:BP	GO:1903506	Regulation Of Nucleic Acid-Templated Transcription	40	APBB2,ARNT2,ATF5,BHLHE40,CEBPA,CHEK2,DAXX,DMTF1,EZH2,FOXO4,FZD7,HIF1A,HMGA2,JADE2,KAT6A,KAT6B,MEF2C,MTF2,MYCBP,NFIL3,NFKB2,NOTCH1,NR3C1,PAK6,PPIE,PRKCQ,RB1,RUVBL1,SMAD3,SOX2,SOX4,SSBP2,STAT3,TCFL5,TERF2IP,TP53,VPS72,ZMIZ1,ZNF274,ZNF395
GO:BP	GO:1903507	Negative Regulation Of Nucleic Acid-Templated Transcription	54	ARID5B,ATF5,BHLHE40,BIRC5,BMP4,BRCA1,CCDC85B,CDK5R1,CDKN1B,CDKN2A,CEBPA,DAXX,DNMT3A,EED,EZH2,GATA3,GMNN,HDAC2,HDAC6,HES1,HMGA2,HSPA8,ID2,IKZF1,JUN,KAT6A,KAT6B,MTA1,MTERF3,NFIL3,NOTCH1,NR1H2,NR3C1,PARP1,PPARD,PPARG,PTPRK,RB1,RBM15B,RRP8,SHC1,SMARCA4,SNX6,SPEN,SUV39H1,TBX2,TFAP2A,TIMELESS,TLE1,TP53,TRIB3,VGLL4,ZMYM2,ZNF318
GO:BP	GO:1904018	Positive Regulation Of Vasculature Development	14	BRCA1,CD40,ETS1,GATA2,GRN,HIF1A,HMGA2,HMOX1,HSPB1,IL1B,NOS3,PAK4,SERPINE1,XBP1
GO:BP	GO:1904029	Regulation Of Cyclin-Dependent Protein Kinase Activity	17	CCNA1,CCNA2,CCNB1,CCNB2,CCND1,CCND3,CCNE2,CCNF,CCNH,CDC25A,CDK5R1,CDK7,CDKN1A,CDKN1B,CDKN2A,GADD45A,MNAT1
GO:BP	GO:1904377	Positive Regulation Of Protein Localization To Cell Periphery	11	AKT1,EGFR,EPB41L2,EPHA3,EPHB2,GNAI1,GPER1,PLS1,PRKCH,SQSTM1,STX4
GO:BP	GO:1904705	Regulation Of Vascular Associated Smooth Muscle Cell Proliferation	11	BMP4,CDKN1A,CDKN1B,DNMT1,GPER1,JUN,MEF2C,MMP2,PPARG,TGFB3,TPM1
GO:BP	GO:1905477	Positive Regulation Of Protein Localization To Membrane	16	AKT1,C2CD5,CHP1,EGFR,EPHA3,EPHB2,ERBB2,FIS1,FYN,GPER1,ITGB1BP1,NMT1,PLS1,PRKCH,SQSTM1,STX4
GO:BP	GO:2000045	Regulation Of G1/S Transition Of Mitotic Cell Cycle	21	AKT1,BCL7B,CCL2,CCNH,CDK7,CDKN1A,CDKN1B,CDKN2A,EGFR,EIF4G1,ID2,KIF14,MNAT1,PSME1,PSME2,PTPN6,RB1,SMARCA4,SMARCC1,SMARCD2,TFDP1
GO:BP	GO:2000060	Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process	13	AXIN1,CEBPA,CSNK1A1,CSNK1E,DNAJB2,HSPA1A,KEAP1,PLK1,PSMD10,PTK2,STUB1,TRIB1,TRIB3
GO:BP	GO:2000145	Regulation Of Cell Motility	11	ABL1,AKT1,CDK6,CRK,FYN,GATA3,KIF14,MACF1,PIN1,PRKX,RHOA
GO:BP	GO:2000146	Negative Regulation Of Cell Motility	13	ARID4B,CLIC4,CRK,DAG1,DUSP22,DUSP3,FOXO3,GATA3,HDAC2,PIN1,PTPRK,SERPINE1,TPM1
GO:BP	GO:2000147	Positive Regulation Of Cell Motility	31	ADAM10,CARMIL1,CCNA2,CDC42,COL1A1,CPNE3,CXCR4,EDN1,EGF,EGFR,EPHB2,GPER1,GRB7,GRN,IGF1R,IL1B,KIT,MAP4K4,MYLK,NOTCH1,PAK1,PDGFA,PIK3R3,PTK2,PTK2B,STAT3,STX4,SYNE2,TIAM1,TJP1,XBP1
GO:BP	GO:2000273	Positive Regulation Of Signaling Receptor Activity	10	ADRB2,CCL2,EDN1,EGF,EPHB2,HDAC2,HDAC6,HIF1A,NCOA3,NOL3
GO:BP	GO:2000573	Positive Regulation Of DNA Biosynthetic Process	14	AURKB,FGFR4,MAP3K4,MAPKAPK5,MYC,NVL,PCNA,PNKP,POLG2,PRKCQ,RFC2,RFC5,TNIP1,USP1
GO:BP	GO:2000630	Positive Regulation Of miRNA Metabolic Process	18	EGFR,EGR1,ETS1,FOS,FOSL1,FOXO3,GATA2,GATA3,HIF1A,JUN,MYC,NR3C1,PPARG,SMAD3,SMARCA4,STAT3,TERT,TP53
GO:BP	GO:2000779	Regulation Of Double-Strand Break Repair	10	BCL7B,CHEK1,RPA2,RUVBL1,SMARCA4,SMARCC1,SMARCD2,TERF2IP,TIMELESS,VPS72
GO:BP	GO:2001056	Positive Regulation Of Cysteine-Type Endopeptidase Activity	11	BAD,CTSD,CYCS,FIS1,FYN,GPER1,LGMN,MALT1,MYC,PMAIP1,SYK
GO:BP	GO:2001234	Negative Regulation Of Apoptotic Signaling Pathway	13	AKT1,BCL2,BMP4,CFLAR,CSNK2A2,HERPUD1,HSPA1A,NOL3,PIH1D1,PSMD10,RB1,SLC25A4,SRC
GO:BP	GO:2001235	Positive Regulation Of Apoptotic Signaling Pathway	11	BAX,BECN1,BID,CTSL,DNM1L,FAS,FIS1,GPER1,PMAIP1,TLR4,TP53
GO:BP	GO:2001237	Negative Regulation Of Extrinsic Apoptotic Signaling Pathway	17	AKT1,ARHGEF2,BCL2,BMP4,BRCA1,CFLAR,FAIM,HMOX1,HSPA1A,ICAM1,IL1B,MAP2K5,NOL3,NOS3,SERPINE1,SRC,TERT
GO:BP	GO:2001242	Regulation Of Intrinsic Apoptotic Signaling Pathway	10	BCL2,BECN1,BID,DNM1L,FIS1,HERPUD1,NOL3,PMAIP1,SRC,TP53
GO:BP	GO:2001243	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway	12	AKT1,ARHGEF2,BCL2,HERPUD1,HSPA1A,HSPB1,HYOU1,NFE2L2,NOL3,PTPN1,SRC,XBP1
