pert_id	pert_iname	n_sigs	canonical_smiles
BRD-A08027849	deoxycholic-acid	6	CC(CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
BRD-A08062015	methyl-testosterone	3	CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
BRD-A08187463	racecadotril	76	CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
BRD-A08200164	melphalan	3	NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
BRD-A08255417	famprofazone	4	CC(Cc1ccccc1)N(C)Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C
BRD-A08545410	doxycycline	42	C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12
BRD-A08610364	BRD-A08610364	12	CCOC(=O)CCCC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12
BRD-A08658758	BRD-A08658758	48	CC1CC(=O)NN=C1c1ccc(F)c(F)c1
BRD-A08660406	iodixanol	4	CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I
BRD-A08662020	BRD-A08662020	12	CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12
BRD-A08709697	heliotrine	15	CO[C@H](C)C(O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@H]21
BRD-A08778300	BRD-A08778300	2	CCCC(O)C#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3ccc4OCOc4c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-A08877921	cephalotaxine	8	COC1=CC23CCCN3CCc4cc5OCOc5cc4C2C1O
BRD-A09053961	BRD-A09053961	6	NC(Cc1cc(O)c(O)cc1Cl)C(O)=O
BRD-A09056319	alfuzosin	37	COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1
BRD-A09062839	amyleine	18	CCC(C)(CN(C)C)OC(=O)c1ccccc1
BRD-A09073503	chlorpromazine	6	CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc12
