gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
RBM15B	29890	matched_entrez			False	CCLE column RBM15B (29890)
OXSR1	9943	matched_entrez			False	CCLE column OXSR1 (9943)
DUSP11	8446	matched_entrez			False	CCLE column DUSP11 (8446)
CCNB2	9133	matched_entrez			False	CCLE column CCNB2 (9133)
HIST2H2BE	8349	matched_entrez			False	CCLE column H2BC21 (8349)
PTPN1	5770	matched_entrez			False	CCLE column PTPN1 (5770)
TES	26136	matched_entrez			False	CCLE column TES (26136)
GFPT1	2673	matched_entrez			False	CCLE column GFPT1 (2673)
LIG1	3978	matched_entrez			False	CCLE column LIG1 (3978)
PKIG	11142	matched_entrez			False	CCLE column PKIG (11142)
P4HA2	8974	matched_entrez			False	CCLE column P4HA2 (8974)
EBP	10682	matched_entrez			False	CCLE column EBP (10682)
PHKB	5257	matched_entrez			False	CCLE column PHKB (5257)
PIK3R3	8503	matched_entrez			False	CCLE column PIK3R3 (8503)
WRB	7485	matched_entrez			False	CCLE column GET1 (7485)
GPC1	2817	matched_entrez			False	CCLE column GPC1 (2817)
SYNE2	23224	matched_entrez			False	CCLE column SYNE2 (23224)
CASP3	836	matched_entrez			False	CCLE column CASP3 (836)
DNTTIP2	30836	matched_entrez			False	CCLE column DNTTIP2 (30836)
ZMYM2	7750	matched_entrez			False	CCLE column ZMYM2 (7750)
OXCT1	5019	matched_entrez			False	CCLE column OXCT1 (5019)
NNT	23530	matched_entrez			False	CCLE column NNT (23530)
MAPKAPK3	7867	matched_entrez			False	CCLE column MAPKAPK3 (7867)
INPP1	3628	matched_entrez			False	CCLE column INPP1 (3628)
SACM1L	22908	matched_entrez			False	CCLE column SACM1L (22908)
PRKACA	5566	matched_entrez			False	CCLE column PRKACA (5566)
INTS3	65123	matched_entrez			False	CCLE column INTS3 (65123)
STAMBP	10617	matched_entrez			False	CCLE column STAMBP (10617)
GAA	2548	matched_entrez			False	CCLE column GAA (2548)
TARBP1	6894	matched_entrez			False	CCLE column TARBP1 (6894)
SLC25A4	291	matched_entrez			False	CCLE column SLC25A4 (291)
SLC37A4	2542	matched_entrez			False	CCLE column SLC37A4 (2542)
PCK2	5106	matched_entrez			False	CCLE column PCK2 (5106)
HPRT1	3251	matched_entrez			False	CCLE column HPRT1 (3251)
